statuses,date_joined,most_recent_post,following,followers,favourites,lists,tweets_this_week,retweet,retweeted_count,userNameScore,avg_tweets_by_day_of_week,engagment_rate,screen_name,account_type
12048,2010,2023,2220.0,28078.0,6957,287,30.0,46.0,84255.0,0.4285714285714286,28.571,300.07,kelseybolar,1.0
23217,2010,2023,1642.0,25943.0,39414,212,32.0,26.0,267921.0,0.7272727272727273,26.857,1032.73,laraeparker,1.0
98169,2010,2023,2998.0,2805878.0,492,5351,71.0,16.0,60503.0,0.6153846153846154,28.571,2.16,patmcafeeshow,1.0
34806,2010,2023,1698.0,501.0,139678,16,33.0,188.0,524331.0,0.25,28.429,104656.89,jonnyenviro,1.0
8111,2010,2023,704.0,457791.0,2558,209,6.0,22.0,816.0,0.7058823529411764,28.571,0.18,elaguiladescalz,1.0
41736,2010,2023,1385.0,2839982.0,55594,10900,78.0,160.0,351297.0,0.4705882352941176,28.571,12.37,lawrence,1.0
30398,2010,2023,2402.0,86197.0,8849,0,19.0,54.0,171495.0,0.75,28.571,198.96,ashleyljames,1.0
70146,2010,2023,404.0,141394.0,2171,51,3.0,144.0,23714.0,0.75,28.571,16.77,amarbaharin,1.0
9861,2010,2023,944.0,505.0,60518,12,1.0,46.0,200844.0,0.2727272727272727,28.571,39771.09,zipmon,1.0
334372,2010,2023,241.0,2355.0,288571,82,94.0,34.0,36984.0,0.24,27.714,1570.45,cheriemorte,1.0
3427,2010,2023,1615.0,259.0,79402,3,0.0,136.0,9516516.0,0.2222222222222222,21.286,3674330.5,aquetta64,1.0
18787,2010,2023,896.0,241616.0,22319,469,3.0,34.0,11244.0,0.9166666666666666,28.0,4.65,lerynfranco,1.0
110548,2010,2023,1679.0,1169028.0,18408,11187,3.0,14.0,62022.0,0.1818181818181817,28.571,5.31,ddale8,1.0
28990,2010,2023,214.0,2223972.0,4637,4929,3.0,56.0,35967.0,0.9,27.571,1.62,hulkhogan,1.0
5009,2010,2023,110.0,1591202.0,2135,1608,1.0,12.0,729504.0,0.9230769230769232,21.857,45.85,danbilzerian,1.0
21446,2010,2023,2118.0,37358.0,2451,1028,33.0,90.0,14739.0,0.5882352941176471,28.571,39.45,chueyburns,1.0
30388,2010,2023,406.0,486.0,10846,5,4.0,138.0,948019.0,0.7692307692307692,28.429,195065.64,jacobthefrank,1.0
44455,2010,2023,1622.0,632098.0,2143,5196,51.0,0.0,3306.0,0.6666666666666667,28.571,0.52,kurt13warner,1.0
