Id	IsAccountPrivate	IsVerified	HasProfilePicture	AnzahlFolgeIch	AnzahlFollower	AnzahlLikes	HasInstagramLink	HasYoutubeLink	HasAccountDescription	HasLinkInDescription	LinkInDescription	PostsExist	AnzahlPosts	AreLikedVideosPrivate	NumberOfLikedVideos	VerhaeltnisFolgeIchProFollower	VerhaeltnisLikesProFollower	AverageNumberOfHashtags	AverageNumberOfComments	AverageNumberOfCharacters	AverageNumberOfForwardings	AverageNumberOfLikes	AverageNumberOfLinkedProfiles	AverageNumberOfUsedFilters	LikedAverageNumberOfHashtags	LikedAverageNumberOfComments	LikedAverageNumberOfCharacters	LikedAverageNumberOfForwardings	LikedAverageNumberOfLikes	LikedAverageNumberOfLinkedProfiles	LikedAverageNumberOfUsedFilters	AverageNumberOfViews	LikedAverageNumberOfViews	VerhaeltnisLikesProAufruf	VerhaeltnisCommentsProAufruf	IsABot
2A294D2E-B83A-4BDE-ACA9-01AA4C511BC7	False	False	True	200	15	0	False	False	False	False		False	0	True	0	13.333333333333334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
F49C95B0-DEF8-4F6F-9E85-01B3CF34DA49	False	False	True	90	204	3914	False	False	True	False		True	4	False	20	0.4411764705882353	19.186274509803923	2.25	14.5	37.75	1.5	970.5	0.0	0.0	5.85	4163.85	84.2	11329.7	704890.15	0.05	0.45	18724.0	3169628.55	0.05183187353129673	0.0007744071779534288	False
D90A1225-5120-4671-8281-01B4955D8358	False	False	True	409	52	0	True	False	True	False		False	0	True	0	7.865384615384615	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
75893CAB-5F7D-4782-A349-01BD864A7929	False	False	True	258	7	0	False	False	False	False		False	0	True	0	36.857142857142854	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
23EAA787-2DC5-46FF-A822-01C2081D5ED1	False	False	False	0	0	0	False	False	True	False		False	0	True	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	True
9D4FAAFF-711B-499E-BFB6-01C77E96389C	False	False	True	80	13	15	False	False	False	False		True	20	True	0	6.153846153846154	1.1538461538461537	0.0	0.0	0.8	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.3	0.0	0.2272727272727273	0.0	
4076A75D-6F1E-4E48-A464-01CDDC7C742D	False	False	True	151	5	0	False	False	True	False		False	0	True	0	30.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
931AC492-D70B-487C-90F1-01DD4CC1275F	False	False	True	741	3	0	False	False	False	False		False	0	False	20	247.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9	67.35	70.9	212.65	15547.6	0.15	0.35	0.0	227301.35	0.0	0.0	True
AC4A2A30-4357-4DCB-A8C1-01DDABA12BBD	False	False	True	49	2	0	False	False	False	False		False	0	True	0	24.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
8166841C-ECC2-4339-B1A2-01F89B5BFD77	False	False	True	707	22	0	False	False	True	False		False	0	True	0	32.13636363636363	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
94AD3B3D-AEE4-48B7-91E4-02018EDC60C0	False	False	True	2491	302	3148	False	False	True	False		True	20	True	0	8.248344370860927	10.42384105960265	1.3	0.35	25.35	0.2	22.7	0.15	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	291.6	0.0	0.07784636488340191	0.0012002743484224965	
8BEDB738-0AE7-4E93-826F-0204DAE652C7	False	False	True	93	0	0	False	False	False	False		False	0	True	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	True
9BA2B2DB-D160-49A9-88A5-020878FD2015	False	False	True	13	20	0	False	False	False	False		False	0	True	0	0.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
705CA02B-9E62-4DC0-A234-020C87384270	False	False	True	2	2	2	False	False	True	False		True	2	True	0	1.0	1.0	2.0	1.0	30.5	0.5	1.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.05263157894736842	0.05263157894736842	False
