,verified,statuses,location,date_joined,most_recent_post,following,followers,favourites,lists,tweet_language,tweets_this_week,retweet,retweeted_count,url,userNameScore,avg_tweets_by_hour_of_day,avg_tweets_by_day_of_week,screen_name,account_type,following/years,followers/lastpost
113,0,843,0,2015,2022,411.0,74.0,1611,1,1,0.0,32.0,64240.0,0,0.75,8.333,28.571,PatrookRice,1,3597.418252390419,412121.76978417265
114,1,9484,1,2009,2022,187.0,99641.0,15,478,1,0.0,114.0,9653.0,0,0.6428571428571428,7.042,24.143,JasTookes,1,3821.418252390419,312554.76978417265
115,0,5293,1,2011,2022,178.0,120841.0,147,70,1,0.0,4.0,35435.0,1,0.4705882352941176,8.125,27.857,fsemprebom,1,3830.418252390419,291354.76978417265
116,1,4017,1,2009,2022,50.0,1297782.0,14,4420,1,0.0,2.0,1483.0,1,0.9333333333333332,8.333,28.571,dannymasterson,1,3958.418252390419,-885586.2302158274
117,0,9774,1,2009,2021,1380.0,1015380.0,8,703,1,0.0,94.0,1531.0,1,0.6666666666666667,8.125,27.857,VickyShu,1,2628.418252390419,-603184.2302158274
118,0,1175,0,2012,2021,182.0,183.0,1272,0,1,0.0,108.0,4404545.0,0,0.8461538461538461,5.083,17.429,Hannah_enscoe,1,3826.418252390419,412012.76978417265
119,0,3470,1,2015,2022,239.0,8556.0,1185,48,1,0.0,24.0,730402.0,1,0.9333333333333332,8.333,28.571,Madeline_Stuart,1,3769.418252390419,403639.76978417265
120,1,82049,1,2009,2022,813.0,1577030.0,27855,10825,4,0.0,36.0,82407.0,1,0.7692307692307692,8.25,28.286,kirstiealley,1,3195.418252390419,-1164834.2302158275
121,0,3350,1,2013,2021,221.0,132.0,3355,2,1,0.0,140.0,337856.0,1,0.5,6.583,22.571,real_c_everson,1,3787.418252390419,412063.76978417265
122,0,17584,1,2011,2022,604.0,29467.0,9827,286,16,0.0,112.0,10613.0,1,0.55,8.292,28.429,valleoccupato,1,3404.418252390419,382728.76978417265
123,0,25225,1,2016,2022,3430.0,3024.0,6859,6,1,0.0,100.0,331225.0,0,0.8571428571428572,7.208,24.714,SZSnow3,1,578.4182523904192,409171.76978417265
124,0,2990,1,2009,2022,238.0,126.0,1159,107,1,0.0,190.0,16102.0,0,0.1666666666666666,8.25,28.286,The_Jackie_C,1,3770.418252390419,412069.76978417265
